partito,layer,id,macrotema,quota
Futuro Nazionale / Vannacci,Stampa,6,Welfare e pensioni,1.28
Futuro Nazionale / Vannacci,Stampa,7,Sanità,1.82
Futuro Nazionale / Vannacci,Stampa,8,Istruzione e ricerca,3.64
Futuro Nazionale / Vannacci,Stampa,9,Ambiente ed energia,3.81
Futuro Nazionale / Vannacci,Stampa,10,Immigrazione e cittadinanza,5.13
Futuro Nazionale / Vannacci,Stampa,11,Sicurezza e criminalità,12.33
Futuro Nazionale / Vannacci,Stampa,12,Diritti civili e società,4.88
Futuro Nazionale / Vannacci,Stampa,13,Infrastrutture e territorio,3.64
Futuro Nazionale / Vannacci,Stampa,14,Cultura e patrimonio,5.22
Futuro Nazionale / Vannacci,Stampa,15,Sport,1.78
